question,answer
“请报验”注册用户、常用联系人（乘车人）如何办理核验和换票？,请报验”指持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的注册用户、常用联系人（乘车人），身份信息未经核验，请持在12306.cn网站填写的有效身份证件原件到车站售票窗口办理预核验，核验通过的，身份信息核验状态变更为“预通过”。“请报验”常用联系人（乘车人）在12306.cn网站购票后，请持在12306.cn网站填写的港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照（均为原件）到车站售票窗口办理身份信息核验，核验通过后（身份信息核验状态变更为“预通过”），可以换取纸质车票。
注册用户、常用联系人（乘车人）核验结果为“预通过”时，怎么办？,“预通过”指持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的注册用户、常用联系人（乘车人），身份信息已经车站售票窗口预核验通过。“预通过”注册用户，仅可添加持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的常用联系人（乘车人），并且名下的“已通过”、“请报验”、“预通过”常用联系人（乘车人）总数累计不超过15人，其中“请报验”常用联系人（乘车人）不超过5个；可以为“已通过”、“请报验”、“预通过”常用联系人（乘车人）正常办理网上购票、改签、变更到站、退票等业务，但“请报验”常用联系人（乘车人）的购票数量最多为4张车票（含已改、已退车票）。“预通过”注册用户、常用联系人（乘车人）的身份信息还将通过国家身份认证权威部门再次核验，通过的，身份信息核验状态变更为“已通过”；未通过的，身份信息核验状态变更为“不通过”。
持港澳居民来往内地通行证、台湾居民来往大陆通行证、护照的注册用户、常用联系人（乘车人）核验结果为“未通过”时，怎么办？,“未通过”指注册用户、常用联系人（乘车人）的身份信息经过国家身份认证权威部门或车站窗口核验但未通过。用户请修改并确认12306.cn网站所填写的身份信息内容与身份证件原件完全一致后重新提交核验。再次核验后，用户身份信息核验状态显示为“已通过”的，仅可为名下的“已通过”、“请报验”、“预通过”持港澳居民来往内地通行证、台湾居民来往大陆通行证、按规定可使用的有效护照的常用联系人（乘车人）正常办理网上购票、改签、变更到站、退票等业务，但“请报验”常用联系人（乘车人）的购票数量最多为4张车票（含已改、已退车票）。
车票可以用来报销吗？,依据国家发票管理有关规定，铁路行业发票实行专业管理。原国务院铁路主管部门对铁路运输票据的式样、印制标准以及填写、使用方法有较为严格的规章制度，铁路部门出具的车票、区段票、代用票、客运运价杂费收据、退票费报销凭证、退票报销凭证、定额票、手续费等运输票据，具有发票属性，可用于报销。
新版《铁路旅客运输规程》从何时起施行？,本规程自2023年1月1日起施行。
什么是异地票、联程票和往返票？,在有运输能力的情况下，旅客可以购买带有席位号的异地票、联程票和往返票。通俗来讲，异地票是指在一个车站购买发站为不同城市的另一个车站的车票。如果从乘车站至目的站没有直接到达的列车时，旅客购买从乘车站到换乘站的车票时，可以同时购买从换乘站至目的站的联程票。往返票是指从乘车站同时购买往程（从乘车站去往目的站）和返程（从目的站返回乘车站）车票。
为什么有“硬卧代硬座”和“软卧代软座或二等座”车票？,为充分发挥铁路运输能力，满足旅客出行需求，部分列车的软、硬卧代作软座（二等座）、硬座使用。
车票有哪些种类？,目前，铁路部门发售的纸质车票，主要包括：（1）红色底纹的计算机软纸车票。（2）浅蓝色底纹的计算机磁介质车票。（3）列车移动补票机出具的车补票。（4）代用票、区段票、客运运价杂费收据等。在12306.cn网站购票且乘车站和下车站均具备居民身份证检票条件的，旅客可以凭购票时所使用的居民身份证原件直接通过自动检票机（闸机）办理进、出站检票。在指定线路上，可以购买并使用铁路乘车卡（中铁银通卡或广深铁路牡丹信用卡）进站、乘车。
什么是直达票、通票？,直达票是指从票面发站至到站有明确车次和席位、且不需中转的车票。直达票当日当次有效，中途下车失效。通票是指从票面发站至终到站需中转的车票。票面载有从发站至中转站的车次和席别，在中转站换乘时，请在车站售票窗口办理中转签证。通票按乘车里程计算有效期，请旅客持票在有效期截止前乘车至到站。
如何购买站台票？,到站台上接送旅客的人员，请购买站台票。部分车站不发售站台票；是否发售站台票，由站长决定。请关注车站公告。
